𫝈	㑮
㑔	㑯
㑇	㑳
㐹	㑶 㐹
𠉂	㒓
𪠟	㓄
刾	㓨
𪟎	㔋
𪠵	㖮
𠵾	㗲
𪡛	㗿
𠰱	㘉
𪢌	㘓
𫬐	㘔
㘎	㘚
𫝦	㛝
㚯	㜄
㛣	㜏
𫝧	㜐
𡞋	㜗
𡞱	㜢
𡝠	㜷
𪨊	㞞
𪩇	㟺
㟆	㠏
𪪑	㢗
𢋈	㢝
㤘	㥮
𢛯	㦎
𢗓	㦛
𪫷	㦞
𪮃	㨻
𪮋	㩋
㨫	㩜
㧐	㩳
擜	㩵
𪯋	㪎
𣘐	㯤
𣗙	㰙
𣳆	㵗
𪷍	㵾
𫞛	㶆
𤆢	㷍
𤈷	㷿
𫞣	㹽
𤠋	㺏
𪺻	㺜
𪼋	㻶
𪽮	㿖
𤻊	㿗
𤽯	㿧
𥁢	䀉
𥅴	䀹
𥇢	䁪
䀥	䁻
𥎝	䂎
鿎	䃮
𫀨	䅐
𫀬	䅳
𫁂	䆉
𫁲	䉑
𥬀	䉙
𫂈	䉬
𥮜	䉲
𫁷	䉶
𥺅	䊭
䌶	䊷
𫄚	䊺
𫄜	䋃
𫄞	䋔
䌺	䋙
䌻	䋚
𫄩	䋦
䌿	䋹
䌾	䋻
𫄮	䋼
𦈓	䋿
𦈖	䌈
𦈘	䌋
𦈜	䌖
𦈟	䌝
𦈞	䌟
𦈠	䌥
𦈙	䌰
𫅅	䍤
䍠	䍦
𦍠	䍽
𫅭	䎙
䎬	䎱
𫟕	䕤
𦰴	䕳
𫟑	䖅
𫊪	䗅
𧉞	䗿
𫋲	䙔
䙌	䙡
𧜭	䙱
𫌯	䚩
𫍠	䛄
𫍫	䛳
䜧	䜀
𫟢	䜖
𫎧	䝭
𧹕	䝻
䞍	䝼
𧹑	䞈
𫎪	䞋
𫎭	䞓
𫎺	䟃
𫎳	䟆
𫎱	䟐
𫏃	䠆
𨅛	䠱
𫟤	䡐
𫟥	䡩
𫟦	䡵
𨑹	䢨
𫟺	䤤
𫠀	䥄
䦂	䥇
鿏	䥑
𫔋	䥗
𨱖	䥩
𫔆	䥯
䥾	䥱
𨸄	䦘
䦶	䦛
䦷	䦟
𫔵	䦯
𨷿	䦳
𨸟	䧢
𫖅	䪊
𩏼	䪏
𩐀	䪗
𩏿	䪘
𫖫	䪴
𫖬	䪾
𫖱	䫀
𫖰	䫂
𫖲	䫟
𩖗	䫴
𫖺	䫶
𫗇	䫻
𫠈	䫾
𫗊	䬓
𩙮	䬘
𩙯	䬝
𩙧	䬞
𫗟	䬧
𩠇	䭀
𩠈	䭃
𫗱	䭑
𫗰	䭔
𩧭	䭿
𫠊	䮄
𩧰	䮝
𩨁	䮞
𩧿	䮠
𩨇	䮫
𫘮	䮰
𩨏	䮳
𩧪	䮾
䯅	䯀
𩩈	䯤
鲃	䰾
𫚐	䱀
𫚏	䱁
𩾈	䱙
𫚠	䱧
𩾊	䱬
𩾋	䱰
䲣	䱷
𫠑	䱸
䲝	䱽
鳚	䲁
𫚜	䲅
𩾂	䲖
鳤	䲘
𪉂	䲰
𫛬	䳜
𫛰	䳢
𫛮	䳤
𫛺	䳧
𫛼	䳫
鹮	䴉
𫜅	䴋
𪎈	䴬
𫜒	䴱
𪎋	䴴
𫜔	䴽
𪑅	䵳
𫜙	䵴
𫜨	䶕
𫜳	䶲
丢	丟
并	並 併
乱	亂
了	了 瞭
亘	亙 亘
亚	亞
仇	仇 讎
仿	仿 彷
伫	佇
占	佔 占
佛	佛 彿
来	來
仑	侖 崙
侣	侶
俣	俁
俊	俊 儁
𠇹	俓
伣	俔
侠	俠
伡	俥
修	修 脩
伥	倀
俩	倆
俫	倈
仓	倉
个	個 箇
们	們
借	借 藉
伦	倫
㑈	倲
伟	偉
㐽	偑
侧	側
侦	偵
伪	偽
㐷	傌
杰	傑 杰
伧	傖
伞	傘
备	備
佣	傭 佣
偬	傯
传	傳
伛	傴
债	債
伤	傷
倾	傾
偻	僂
仅	僅
佥	僉
侨	僑
仆	僕 仆
𫢸	僤
侥	僥
偾	僨
雇	僱
僵	僵 殭
价	價 价
仪	儀
侬	儂
亿	億
侩	儈
俭	儉
傤	儎
傧	儐
俦	儔
侪	儕
侭	儘
偿	償
𠆲	儣
优	優
𠋆	儭
储	儲
俪	儷
㑩	儸
傩	儺
傥	儻
俨	儼
凶	兇 凶
克	克 剋
兑	兌
儿	兒
兖	兗
内	內
两	兩
册	冊
幂	冪
冬	冬 鼕
凌	凌 淩
冻	凍
𪞝	凙
凛	凜
凯	凱
出	出 齣
别	別 彆
删	刪
刮	刮 颳
制	制 製
刭	剄
则	則
刹	剎
刬	剗
刚	剛
剥	剝
剐	剮
剀	剴
创	創
𠛅	剾
㓰	劃
划	劃 划
剧	劇
刘	劉
刽	劊
刿	劌
剑	劍
㓥	劏
剂	劑
㔉	劚
劲	勁
𠡠	勑
动	動
务	務
胜	勝 胜
劳	勞
势	勢
𪟝	勣
勚	勩
劢	勱
勋	勳 勛
励	勵
劝	勸
匀	勻
匦	匭
汇	匯 彙
匮	匱
区	區
千	千 韆
升	升 昇
协	協
卜	卜 蔔
卷	卷 捲
却	卻
厍	厙
厌	厭
厉	厲
厣	厴
参	參 蔘
叁	叄
丛	叢
只	只 隻 祇
吃	吃 喫
合	合 閤
吊	吊 弔
同	同 衕
向	向 嚮 曏
咤	吒
吴	吳
呐	吶
吕	呂
周	周 週 賙
呙	咼
咽	咽 嚥
哄	哄 鬨
员	員
𠯟	哯
呗	唄
唇	唇 脣
𪠳	唓
问	問
哑	啞
启	啟
唡	啢
喂	喂 餵
㖞	喎
唤	喚
丧	喪
乔	喬
单	單
哟	喲
呛	嗆
啬	嗇
唝	嗊
吗	嗎
呜	嗚
唢	嗩
𠮶	嗰
哔	嗶
𪡏	嗹
叹	嘆 歎
喽	嘍
啯	嘓
呕	嘔
啧	嘖
尝	嘗 嚐
唛	嘜
𪡃	嘪
唠	嘮
啸	嘯
叽	嘰
𪡞	嘳
哓	嘵
呒	嘸
𪡀	嘺
啴	嘽
𠯠	噅
嘘	噓
㖊	噚
咝	噝
𪡋	噞
哒	噠
哝	噥
哕	噦
噪	噪 譟
嗳	噯
哙	噲
喷	噴
吨	噸
𪠽	噹
咛	嚀
吓	嚇
哜	嚌
噜	嚕
𪠸	嚛
呖	嚦
𠰷	嚧
咙	嚨
亸	嚲
喾	嚳
严	嚴
嘤	嚶
𪢕	嚽
啭	囀
嗫	囁
嚣	囂
𠱞	囃
冁	囅
呓	囈
啰	囉
嘱	囑
𪢠	囒
回	回 迴
囱	囪
困	困 睏
囵	圇
国	國
围	圍
园	園
圆	圓
图	圖
团	團 糰
𪢮	圞
垭	埡
𪣆	埬
执	執
坚	堅
垩	堊
垴	堖
𪣒	堚
埚	堝
尧	堯
报	報
场	場
块	塊
茔	塋
垲	塏
埘	塒
涂	塗 涂
坞	塢
尘	塵
堑	塹
𪣻	塿
垫	墊
坠	墜
𫮃	墠
堕	墮
𪢸	墲
坟	墳
垯	墶
垦	墾
坛	壇 罈
𡒄	壈
垱	壋
埙	壎 塤
压	壓
𡋤	壗
垒	壘
圹	壙
垆	壚
坏	壞
垄	壟
垅	壠
坜	壢
𪤚	壣
坝	壩
塆	壪
壮	壯
壶	壺
壸	壼
寿	壽
够	夠
梦	夢
伙	夥 伙
夫	夫 伕
夹	夾
奂	奐
奥	奧
奁	奩
夺	奪
奋	奮
奸	奸 姦
姹	奼
妆	妝
姗	姍
姜	姜 薑
娘	娘 孃
𫰛	娙
娱	娛
娄	婁
𫝫	婡
妇	婦
娅	婭
𫝨	媈
娲	媧
妫	媯
㛀	媰
媪	媼
妈	媽
袅	嫋 裊
妪	嫗
妩	嫵
娴	嫻 嫺
婳	嫿
媭	嬃
𫝬	嬇
娆	嬈
婵	嬋
娇	嬌
嫱	嬙
嫒	嬡
𪥰	嬣
嬷	嬤
𫝩	嬦
嫔	嬪
婴	嬰
婶	嬸
𪥿	嬻
𫝮	孄
𫝭	孆
𪥫	孇
㛤	孋
娈	孌
𡠟	孎
孙	孫
学	學
𡥧	孻
𪧀	孾
孪	孿
它	它 牠
宫	宮
家	家 傢
𪧘	寠
寝	寢
实	實
宁	寧 甯
审	審
写	寫
宽	寬
宠	寵
宝	寶
将	將
专	專
寻	尋
对	對
导	導
尴	尷
局	局 侷
届	屆
尸	屍 尸
屃	屓
屉	屜
屡	屢
层	層
屦	屨
𪨗	屩
属	屬
冈	岡
峰	峰
岘	峴
岛	島
峡	峽
崃	崍
岗	崗
𪨧	崙
峥	崢
岽	崬
岚	嵐
𡶴	嵼
𫶇	嵽
㟥	嵾
嵝	嶁
崭	嶄
岖	嶇
𡺃	嶈
嵚	嶔
崂	嶗
𡺄	嶘
峤	嶠
峣	嶢
峄	嶧
峃	嶨
崄	嶮
嵘	嶸
𫝵	嶹
岭	嶺
屿	嶼
岳	嶽 岳
𪩎	巊
岿	巋
峦	巒
巅	巔
岩	巖 岩
𪨷	巗
𪩘	巘
巨	巨 鉅
巯	巰
卺	巹
布	布 佈
帅	帥
师	師
席	席 蓆
帐	帳
带	帶
帧	幀
帏	幃
㡎	幓
帼	幗
帻	幘
𪩷	幝
帜	幟
币	幣
𪩸	幩
帮	幫
帱	幬
幸	幸 倖
干	幹 乾 干
几	幾 几
库	庫
庵	庵 菴
厕	廁
厢	廂
厩	廄
厦	廈
庼	廎
厨	廚
厮	廝
𫷷	廞
庙	廟
厂	廠 厂
庑	廡
废	廢
广	廣 广
𪪞	廧
廪	廩
庐	廬
𪪏	廬
厅	廳
弑	弒
弦	弦 絃
弪	弳
张	張
强	強
𪪼	彃
𫸩	彄
弹	彈
弥	彌 瀰
弯	彎
彟	彠
彦	彥
彩	彩 綵
彨	彲
后	後 后
径	徑
从	從
徕	徠
御	御 禦
复	復 複 覆
征	徵 征
彻	徹
𪫌	徿
志	志 誌
念	念 唸
恒	恆
恤	恤 卹
耻	恥
悦	悅
悮	悞
怅	悵
闷	悶
凄	悽 淒
恶	惡 噁
恼	惱
恽	惲
恻	惻
愈	愈 癒
爱	愛
惬	愜
悫	愨
怆	愴
恺	愷
𢙏	愻
忾	愾
栗	慄 栗
态	態
愠	慍
惨	慘
惭	慚
恸	慟
惯	慣
怄	慪
怂	慫
虑	慮
悭	慳
庆	慶
㥪	慺
忧	憂
惫	憊
怜	憐
凭	憑
愦	憒
慭	憖
惮	憚
𢙒	憢
愤	憤
悯	憫
怃	憮
宪	憲
忆	憶
𪫺	憸
𢙐	憹
𢙓	懀
恳	懇
应	應
怿	懌
懔	懍
𢠁	懎
怼	懟
懑	懣
㤽	懤
恹	懨
惩	懲
懒	懶
怀	懷
悬	懸
忏	懺
惧	懼
慑	懾
恋	戀
戆	戇
戋	戔
戚	戚 慼
戗	戧
戬	戩
战	戰
𢧐	戰
戯	戱
戏	戲
户	戶
才	才 纔
扎	扎 紮
扣	扣 釦
折	折 摺
抵	抵 牴
抛	拋
拐	拐 柺
挨	挨 捱
捝	挩
挽	挽 輓
挟	挾
扪	捫
扫	掃
抡	掄
㧏	掆
挜	掗
挣	掙
𪭵	掚
挂	掛 挂
采	採 采 寀
拣	揀
扬	揚
换	換
挥	揮
搄	揯
损	損
摇	搖
捣	搗
搜	搜 蒐
揾	搵
抢	搶
𢫬	摋
𪭢	摐
掴	摑
掼	摜
搂	摟
挚	摯
抠	摳
抟	摶
掺	摻
捞	撈
𪭾	撊
挦	撏
撑	撐
挠	撓
㧑	撝
挢	撟
掸	撣
拨	撥
𪮖	撧
抚	撫
扑	撲
揿	撳
挞	撻
挝	撾
捡	撿
拥	擁
掳	擄
择	擇
击	擊
挡	擋
㧟	擓
担	擔
据	據 据
𪭧	擟
挤	擠
𢭏	擣
𢬍	擫
拟	擬
摈	擯
拧	擰
搁	擱
掷	擲
扩	擴
撷	擷
摆	擺 襬
擞	擻
撸	擼
㧰	擽
扰	擾
摅	攄
撵	攆
𪮶	攋
拢	攏
拦	攔
撄	攖
搀	攙
撺	攛
携	攜
摄	攝
攒	攢
挛	攣
摊	攤
搅	攪
揽	攬
敚	敓
败	敗
叙	敘
敌	敵
数	數
敛	斂
毙	斃
𢽾	斅
敩	斆
斓	斕
斩	斬
断	斷
𣃁	斸
于	於 于
旋	旋 鏇
昆	昆 崑
时	時
晋	晉
昼	晝
晕	暈
晖	暉
𬀩	暐
暗	暗 闇
旸	暘
畅	暢
暂	暫
昵	暱
晔	曄
昙	曇
晓	曉
𪰶	曊
暧	曖
旷	曠
𣆐	曥
昽	曨
晒	曬
曲	曲 麴
书	書
会	會
𦛨	朥
胧	朧
朱	朱 硃
杆	杆 桿
杯	杯 盃
东	東
松	松 鬆
板	板 闆
栅	柵
核	核 覈
𣐕	桱
梁	梁 樑
栀	梔
𪱷	梖
枧	梘
条	條
枭	梟
棁	梲
弃	棄
枨	棖
枣	棗
栋	棟
㭎	棡
栈	棧
栖	棲
梾	棶
桠	椏
㭏	椲
𣒌	楇
杨	楊
枫	楓
桢	楨
业	業
极	極 极
杩	榪
荣	榮
榅	榲
桤	榿
构	構
枪	槍
杠	槓 杠
梿	槤
椠	槧
椁	槨
𣏢	槫
椮	槮
桨	槳
椢	槶
椝	槼
桩	樁
乐	樂
枞	樅
楼	樓
标	標
枢	樞
𣗊	樠
㭤	樢
样	樣
𣔌	樤
榝	樧
㭴	樫
桪	樳
朴	樸 朴
树	樹
桦	樺
椫	樿
桡	橈
桥	橋
机	機
椭	橢
横	橫
𣓿	橯
檩	檁
柽	檉
档	檔
桧	檜
槚	檟
检	檢
樯	檣
𣘴	檭
梼	檮
槟	檳
𪲛	檵
柠	檸
槛	檻
柜	櫃 柜
𪲎	櫅
橹	櫓
榈	櫚
栉	櫛
椟	櫝
橼	櫞
栎	櫟
𪲮	櫠
橱	櫥
槠	櫧
栌	櫨
枥	櫪
橥	櫫
榇	櫬
蘖	櫱
栊	櫳
榉	櫸
樱	櫻
栏	欄
𪳍	欇
权	權
𣐤	欍
椤	欏
𪲔	欐
𪴙	欑
栾	欒
𣗋	欓
榄	欖
𣚚	欘
棂	欞
欲	欲 慾
钦	欽
欧	歐
欤	歟
欢	歡
岁	歲
历	歷 曆
归	歸
殁	歿
残	殘
殒	殞
𣨼	殢
殇	殤
㱮	殨
殚	殫
殓	殮
殡	殯
㱩	殰
歼	殲
杀	殺
壳	殼
毁	毀 燬 譭
殴	毆
𪵑	毊
毵	毿
毡	氈
氇	氌
气	氣
氢	氫
氩	氬
𣱝	氭
氲	氳
决	決
沈	沈 瀋
没	沒
沾	沾 霑
况	況
泛	泛 氾 汎
注	注 註
汹	洶
浃	浹
泾	涇
涚	涗
凉	涼
泪	淚
渌	淥
净	淨
沦	淪
渊	淵
涞	淶
浅	淺
涣	渙
减	減
沨	渢
涡	渦
测	測
浑	渾
凑	湊
𣲗	湋
浈	湞
涌	湧 涌
汤	湯
